battin_team_no,bowling_team_no,innings,Bat Number,Bowl Number,Total Runs
1.0,7.0,2,3,4,42
6.0,6.0,1,4,2,39
2.0,1.0,1,3,5,45
5.0,2.0,2,4,4,73
3.0,5.0,2,4,4,68
7.0,3.0,1,3,3,52
4.0,8.0,1,3,3,48
8.0,4.0,2,3,4,57
1.0,3.0,2,3,4,75
3.0,6.0,1,4,5,64
2.0,4.0,2,4,4,60
4.0,2.0,1,4,3,51
6.0,8.0,1,3,4,54
8.0,7.0,2,2,4,56
5.0,5.0,1,5,3,50
7.0,1.0,2,4,4,41
2.0,7.0,2,3,4,53
6.0,2.0,1,2,4,84
3.0,8.0,1,3,4,49
8.0,3.0,2,4,4,46
4.0,5.0,1,3,4,52
7.0,4.0,2,3,4,64
1.0,1.0,2,4,4,53
5.0,6.0,1,2,3,75
2.0,3.0,2,5,4,56
3.0,2.0,1,3,3,50
6.0,5.0,1,4,4,60
7.0,7.0,2,4,4,55
3.0,4.0,2,3,4,53
4.0,3.0,1,2,4,48
5.0,8.0,1,2,4,49
8.0,1.0,2,5,3,40
1.0,4.0,1,3,5,69
4.0,6.0,2,5,3,35
5.0,3.0,2,2,5,73
3.0,1.0,1,3,4,50
2.0,5.0,1,4,3,28
7.0,2.0,2,4,4,43
1.0,8.0,1,3,4,27
8.0,6.0,2,5,3,40
6.0,4.0,1,3,4,43
4.0,7.0,2,4,4,43
2.0,1.0,2,5,3,48
5.0,2.0,1,4,3,51
6.0,8.0,2,5,3,22
8.0,7.0,1,6,3,51
1.0,5.0,2,4,4,55
7.0,6.0,1,3,3,52
5.0,8.0,2,2,3,44
8.0,1.0,1,5,2,37
2.0,3.0,1,2,5,57
3.0,2.0,2,6,4,51
1.0,7.0,1,3,4,51
6.0,6.0,2,2,4,50
4.0,8.0,2,3,4,43
8.0,4.0,1,3,4,39
3.0,5.0,2,2,3,51
7.0,3.0,1,2,4,40
1.0,2.0,1,2,4,56
2.0,6.0,2,4,3,59
6.0,5.0,2,5,3,40
7.0,7.0,1,2,4,43
2.0,4.0,1,3,5,62
4.0,2.0,2,2,5,79
1.0,3.0,1,3,4,57
3.0,6.0,2,4,3,56
5.0,7.0,1,2,3,49
6.0,1.0,2,3,4,39
1.0,5.0,2,3,3,42
7.0,6.0,1,3,3,47
2.0,8.0,1,3,4,60
8.0,2.0,2,2,4,61
3.0,7.0,2,4,3,47
6.0,3.0,1,2,5,56
5.0,4.0,2,4,4,34
4.0,1.0,1,4,4,45
7.0,8.0,2,3,4,55
8.0,5.0,1,3,4,38
5.0,4.0,2,5,4,33
4.0,1.0,1,3,4,63
3.0,7.0,2,4,4,47
6.0,3.0,1,3,5,47
2.0,8.0,1,4,4,38
8.0,2.0,2,3,4,51
1.0,4.0,1,3,5,55
4.0,6.0,2,4,4,57
5.0,3.0,2,3,4,58
3.0,1.0,1,3,5,59
2.0,5.0,1,4,3,44
7.0,2.0,2,4,4,58
1.0,8.0,2,2,4,53
8.0,6.0,1,3,3,29
6.0,4.0,1,2,4,51
4.0,7.0,2,3,4,51
5.0,5.0,1,5,3,47
7.0,1.0,2,2,4,66
3.0,4.0,2,4,3,51
4.0,3.0,1,3,4,68
5.0,7.0,2,3,4,57
6.0,1.0,1,5,3,60
7.0,8.0,1,4,4,44
8.0,5.0,2,3,4,56
1.0,2.0,2,2,4,44
2.0,6.0,1,3,4,39
4.0,5.0,1,3,4,45
7.0,4.0,2,3,4,55
3.0,8.0,2,3,4,66
8.0,3.0,1,2,5,60
2.0,7.0,1,4,4,46
6.0,2.0,2,3,5,57
1.0,1.0,2,5,3,33
5.0,6.0,1,5,2,29
1.0,8.0,2,5,3,33
8.0,6.0,1,5,3,47
3.0,4.0,1,5,3,46
4.0,3.0,2,3,4,51
3.0,8.0,2,3,3,67
8.0,3.0,1,2,4,45
1.0,8.0,2,3,2,35
8.0,6.0,1,3,3,42
1.0,5.0,2,3,3,16
7.0,6.0,1,4,2,33
3.0,8.0,2,3,4,47
8.0,3.0,1,2,4,54
2.0,7.0,1,4,4,45
6.0,2.0,2,4,3,46
5.0,4.0,1,3,4,32
4.0,1.0,2,2,3,64
1.0,2.0,2,3,3,58
2.0,6.0,1,3,3,43
5.0,3.0,2,4,3,51
3.0,1.0,1,4,5,53
6.0,5.0,1,2,3,52
7.0,7.0,2,3,5,60
4.0,8.0,1,3,4,35
8.0,4.0,2,2,4,69
5.0,7.0,2,2,3,38
6.0,1.0,1,3,4,62
2.0,3.0,2,3,4,45
3.0,2.0,1,3,4,36
7.0,8.0,2,5,3,30
8.0,5.0,1,2,4,59
1.0,4.0,1,5,3,29
4.0,6.0,2,5,3,45
2.0,1.0,2,3,4,49
5.0,2.0,1,4,4,54
4.0,5.0,2,2,3,55
7.0,4.0,1,2,3,48
1.0,7.0,2,5,3,34
6.0,6.0,1,3,3,40
2.0,8.0,1,3,3,36
8.0,2.0,2,2,4,62
3.0,5.0,2,3,3,59
7.0,3.0,1,2,4,53
1.0,1.0,1,2,4,54
5.0,6.0,2,4,3,46
6.0,8.0,1,4,3,30
8.0,7.0,2,4,4,39
2.0,5.0,2,3,3,53
7.0,2.0,1,3,3,40
3.0,4.0,2,2,3,65
4.0,3.0,1,3,3,28
5.0,8.0,2,3,4,38
8.0,1.0,1,3,3,27
1.0,3.0,2,4,3,40
3.0,6.0,1,6,3,29
5.0,7.0,1,2,3,50
6.0,1.0,2,3,3,50
1.0,4.0,2,6,3,24
4.0,6.0,1,5,3,54
2.0,3.0,2,4,3,57
3.0,2.0,1,3,4,41
6.0,4.0,1,2,4,57
4.0,7.0,2,2,4,59
5.0,5.0,1,2,3,60
7.0,1.0,2,3,4,63
1.0,3.0,2,4,4,44
3.0,6.0,1,3,4,49
2.0,8.0,1,4,3,51
8.0,2.0,2,2,3,40
6.0,5.0,2,2,4,67
7.0,7.0,1,3,3,45
5.0,4.0,1,3,3,39
4.0,1.0,2,3,2,54
1.0,8.0,1,2,3,41
8.0,6.0,2,3,3,68
2.0,7.0,2,2,5,48
6.0,2.0,1,2,4,57
3.0,5.0,2,5,3,37
7.0,3.0,1,3,3,42
6.0,4.0,1,3,5,46
4.0,7.0,2,3,5,60
2.0,1.0,2,3,5,60
5.0,2.0,1,4,3,50
3.0,8.0,1,4,4,61
8.0,3.0,2,2,5,72
1.0,5.0,2,6,3,32
7.0,6.0,1,3,2,49
2.0,4.0,2,2,5,59
4.0,2.0,1,2,3,52
1.0,8.0,2,3,4,49
8.0,6.0,1,3,2,54
5.0,5.0,2,3,4,68
7.0,1.0,1,3,2,70
3.0,4.0,1,4,3,32
4.0,3.0,2,3,5,55
1.0,7.0,2,5,4,40
6.0,6.0,1,3,2,45
4.0,8.0,2,2,5,60
8.0,4.0,1,3,4,51
2.0,5.0,1,3,4,59
7.0,2.0,2,3,4,64
3.0,7.0,1,2,4,50
6.0,3.0,2,4,3,41
5.0,8.0,2,3,4,44
8.0,1.0,1,2,4,77
4.0,5.0,2,2,4,41
7.0,4.0,1,8,5,62
1.0,2.0,1,3,4,27
2.0,6.0,2,4,2,59
6.0,8.0,1,3,4,44
8.0,7.0,2,4,3,59
5.0,3.0,1,4,3,41
3.0,1.0,2,2,4,62
2.0,4.0,2,4,5,46
4.0,2.0,1,6,3,30
7.0,8.0,2,5,3,49
8.0,5.0,1,3,3,52
1.0,1.0,1,3,4,42
5.0,6.0,2,2,3,68
3.0,7.0,1,2,5,49
6.0,3.0,2,2,4,46
1.0,7.0,1,4,5,32
6.0,6.0,2,4,2,44
2.0,8.0,2,2,4,55
8.0,2.0,1,3,3,54
1.0,2.0,2,2,3,42
2.0,6.0,1,4,3,41
1.0,7.0,2,3,4,53
6.0,6.0,1,4,3,45
1.0,7.0,2,4,3,37
6.0,6.0,1,4,4,51
2.0,1.0,1,5,3,23
5.0,2.0,2,5,4,35
3.0,5.0,1,6,3,17
7.0,3.0,2,2,3,44
6.0,8.0,1,4,3,48
8.0,7.0,2,2,4,56
1.0,4.0,2,2,4,53
4.0,6.0,1,3,3,54
2.0,3.0,2,4,3,36
3.0,2.0,1,4,4,36
5.0,8.0,1,3,3,47
8.0,1.0,2,2,3,52
6.0,5.0,2,3,4,45
7.0,7.0,1,2,4,54
2.0,4.0,1,5,4,51
4.0,2.0,2,3,4,41
1.0,3.0,2,3,2,54
3.0,6.0,1,3,3,52
7.0,8.0,1,4,3,30
8.0,5.0,2,3,4,58
5.0,7.0,2,4,4,41
6.0,1.0,1,4,4,41
3.0,4.0,1,3,4,42
4.0,3.0,2,4,3,39
2.0,5.0,2,3,4,53
7.0,2.0,1,3,4,40
1.0,1.0,2,2,4,57
5.0,6.0,1,3,4,53
4.0,8.0,2,5,3,36
8.0,4.0,1,3,4,26
3.0,7.0,2,4,4,33
6.0,3.0,1,3,4,59
1.0,2.0,1,3,4,39
2.0,6.0,2,4,3,41
5.0,5.0,1,2,3,50
7.0,1.0,2,5,3,40
6.0,4.0,1,3,5,57
4.0,7.0,2,5,3,31
3.0,8.0,1,2,3,48
8.0,3.0,2,2,4,58
1.0,1.0,2,2,4,60
5.0,6.0,1,2,3,46
4.0,5.0,1,5,4,38
7.0,4.0,2,3,4,50
2.0,3.0,1,2,4,57
3.0,2.0,2,3,5,59
1.0,8.0,2,4,3,36
8.0,6.0,1,3,3,42
5.0,7.0,2,3,4,51
6.0,1.0,1,5,3,43
4.0,8.0,1,3,3,47
8.0,4.0,2,4,4,58
2.0,5.0,1,2,4,63
7.0,2.0,2,4,5,43
5.0,3.0,2,2,3,36
3.0,1.0,1,5,3,54
1.0,7.0,1,7,3,24
6.0,6.0,2,2,3,52
4.0,5.0,1,3,4,52
7.0,4.0,2,3,4,47
5.0,3.0,2,2,3,47
3.0,1.0,1,4,3,25
2.0,8.0,2,4,3,54
8.0,2.0,1,2,4,77
1.0,5.0,2,4,4,26
7.0,6.0,1,3,3,36
3.0,7.0,1,4,4,33
6.0,3.0,2,2,4,51
5.0,4.0,1,2,3,60
4.0,1.0,2,3,4,69
1.0,8.0,1,4,3,44
8.0,6.0,2,4,2,40
2.0,7.0,1,4,4,46
6.0,2.0,2,2,4,44
3.0,4.0,1,3,4,55
4.0,3.0,2,7,3,41
5.0,5.0,2,2,4,56
7.0,1.0,1,3,4,57
2.0,8.0,2,3,3,34
8.0,2.0,1,2,4,38
1.0,4.0,1,4,4,43
4.0,6.0,2,5,2,31
7.0,8.0,1,2,5,53
8.0,5.0,2,3,3,48
2.0,7.0,1,4,3,22
6.0,2.0,2,2,4,38
1.0,3.0,2,2,5,44
3.0,6.0,1,2,4,48
5.0,4.0,1,3,3,53
4.0,1.0,2,3,4,66
6.0,8.0,1,4,3,48
8.0,7.0,2,3,4,56
1.0,2.0,2,3,4,34
2.0,6.0,1,2,3,36
3.0,5.0,2,3,4,43
7.0,3.0,1,2,3,47
6.0,4.0,1,3,3,59
4.0,7.0,2,4,4,55
5.0,8.0,2,4,3,45
8.0,1.0,1,2,3,58
2.0,4.0,1,4,4,47
4.0,2.0,2,4,4,50
1.0,5.0,2,2,4,48
7.0,6.0,1,3,4,46
3.0,8.0,2,4,3,52
8.0,3.0,1,3,3,40
2.0,1.0,1,3,4,53
5.0,2.0,2,5,5,57
6.0,5.0,2,4,3,35
7.0,7.0,1,2,4,59
2.0,7.0,2,6,4,32
6.0,2.0,1,3,5,63
7.0,8.0,1,4,3,32
8.0,5.0,2,4,3,48
2.0,8.0,1,2,3,65
8.0,2.0,2,5,4,49
2.0,7.0,1,5,4,41
6.0,2.0,2,3,5,61
6.0,5.0,1,3,3,41
7.0,7.0,2,4,4,46
1.0,2.0,1,4,4,33
2.0,6.0,2,2,3,65
3.0,8.0,1,2,4,50
8.0,3.0,2,4,4,35
5.0,4.0,1,3,3,46
4.0,1.0,2,4,4,59
3.0,7.0,2,2,4,45
6.0,3.0,1,3,4,42
7.0,8.0,1,3,4,47
8.0,5.0,2,3,3,50
2.0,4.0,1,5,3,36
4.0,2.0,2,5,3,26
1.0,1.0,2,3,4,32
5.0,6.0,1,6,3,26
6.0,8.0,1,2,4,53
8.0,7.0,2,2,4,57
3.0,5.0,2,3,4,57
7.0,3.0,1,4,4,45
2.0,1.0,2,3,4,62
5.0,2.0,1,2,4,59
1.0,4.0,1,3,4,46
4.0,6.0,2,4,2,45
2.0,7.0,2,3,4,39
6.0,2.0,1,3,4,55
5.0,8.0,1,3,4,32
8.0,1.0,2,2,4,50
1.0,3.0,1,2,4,54
3.0,6.0,2,6,3,45
4.0,5.0,1,5,3,32
7.0,4.0,2,2,4,59
6.0,1.0,1,3,3,21
5.0,7.0,2,2,4,45
3.0,4.0,1,2,4,25
4.0,3.0,2,4,4,50
1.0,5.0,1,2,4,51
7.0,6.0,2,4,3,65
2.0,8.0,1,2,4,51
8.0,2.0,2,4,5,56
